"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"27.09.2019","272,992","274,703","275,121","270,986","-0,61%"
"26.09.2019","274,664","274,873","276,505","273,190","-0,08%"
"25.09.2019","274,874","280,543","281,268","273,995","-2,03%"
"24.09.2019","280,557","279,625","281,451","277,372","0,33%"
"23.09.2019","279,626","279,510","281,343","278,327","0,05%"
"22.09.2019","279,479","279,108","279,595","278,939","-0,19%"
"20.09.2019","279,997","275,748","280,239","274,669","1,54%"
"19.09.2019","275,762","272,387","275,831","272,003","1,22%"
"18.09.2019","272,425","275,172","275,761","271,401","-1,00%"
"17.09.2019","275,178","275,932","278,894","274,844","-0,29%"
"16.09.2019","275,969","277,350","278,804","274,928","-0,50%"
"15.09.2019","277,347","276,350","277,698","275,532","1,89%"
"13.09.2019","272,207","272,660","275,542","271,434","-0,18%"
"12.09.2019","272,690","276,098","278,583","272,178","-1,24%"
"11.09.2019","276,117","275,864","278,207","275,576","0,09%"
"10.09.2019","275,857","276,387","278,871","274,624","-0,19%"
"09.09.2019","276,393","276,320","280,164","276,254","0,02%"
"08.09.2019","276,331","276,354","276,625","275,911","-0,17%"
"06.09.2019","276,815","277,957","280,640","275,441","-0,41%"
"05.09.2019","277,956","282,989","283,109","275,613","-1,78%"
"04.09.2019","282,998","285,244","285,273","279,245","-0,78%"
"03.09.2019","285,210","284,958","286,450","283,009","0,08%"
"02.09.2019","284,976","287,024","287,228","283,468","-0,71%"
"01.09.2019","287,011","287,502","287,906","286,836","0,61%"
"30.08.2019","285,284","286,710","287,986","284,324","-0,51%"
"29.08.2019","286,747","288,092","291,032","285,252","-0,47%"
"28.08.2019","288,095","289,326","289,684","286,420","-0,44%"
"27.08.2019","289,369","286,413","290,226","285,841","1,03%"
"26.08.2019","286,424","289,813","290,370","284,254","-1,18%"
"25.08.2019","289,853","286,131","299,615","286,131","2,66%"
"23.08.2019","282,344","277,785","283,820","276,944","1,64%"
"22.08.2019","277,785","276,629","279,002","275,812","0,41%"
"21.08.2019","276,656","277,667","277,878","274,696","-0,36%"
"20.08.2019","277,667","271,769","278,006","271,250","2,17%"
"19.08.2019","271,763","271,175","274,142","268,685","0,23%"
"18.08.2019","271,151","271,263","271,886","270,802","-0,16%"
"16.08.2019","271,573","273,462","273,666","268,768","-0,69%"
"15.08.2019","273,473","273,700","274,777","269,259","-0,09%"
"14.08.2019","273,732","268,983","275,053","267,882","1,77%"
"13.08.2019","268,984","270,535","277,072","265,641","-0,56%"
"12.08.2019","270,502","265,280","271,620","264,317","1,97%"
"11.08.2019","265,282","264,651","265,448","264,156","0,34%"
"09.08.2019","264,388","265,289","266,684","263,551","-0,33%"
"08.08.2019","265,266","265,171","265,960","261,860","0,03%"
"07.08.2019","265,183","262,500","266,540","261,845","1,02%"
"06.08.2019","262,501","264,926","265,180","259,560","-0,91%"
"05.08.2019","264,923","256,900","265,106","256,714","3,12%"
"04.08.2019","256,898","257,859","258,082","256,739","-0,24%"
"02.08.2019","257,508","259,186","259,848","256,321","-0,64%"
"01.08.2019","259,168","253,379","261,024","251,161","2,29%"
"31.07.2019","253,373","255,791","256,070","252,451","-0,94%"
"30.07.2019","255,767","257,339","257,361","254,825","-0,61%"
"29.07.2019","257,339","258,349","259,409","255,224","-0,39%"
"28.07.2019","258,335","258,309","258,735","258,201","-0,06%"
"26.07.2019","258,495","259,414","260,209","256,038","-0,35%"
"25.07.2019","259,415","261,815","264,698","258,626","-0,92%"
"24.07.2019","261,830","260,703","263,055","260,185","0,43%"
"23.07.2019","260,701","259,662","261,540","258,386","0,40%"
"22.07.2019","259,663","259,251","261,128","258,793","0,18%"
"21.07.2019","259,187","259,431","259,729","258,721","-0,00%"
"19.07.2019","259,198","260,993","262,040","258,171","-0,66%"
"18.07.2019","260,924","260,354","262,572","257,358","0,23%"
"17.07.2019","260,327","257,976","261,327","255,799","0,83%"
"16.07.2019","258,175","259,922","260,395","257,031","-0,67%"
"15.07.2019","259,925","260,895","261,167","258,369","-0,37%"
"14.07.2019","260,880","260,404","261,390","260,290","0,16%"
"12.07.2019","260,468","256,965","261,384","256,559","1,36%"
"11.07.2019","256,964","260,041","260,963","255,755","-1,18%"
"10.07.2019","260,045","256,978","260,146","256,026","1,19%"
"09.07.2019","256,986","257,032","258,026","254,241","-0,02%"
"08.07.2019","257,044","257,696","261,130","256,740","-0,25%"
"07.07.2019","257,685","259,452","259,452","257,005","1,77%"
"05.07.2019","253,192","255,908","256,334","251,443","-1,06%"
"04.07.2019","255,903","256,469","256,940","254,035","-0,21%"
"03.07.2019","256,448","260,130","261,235","255,829","-1,41%"
"02.07.2019","260,118","251,826","261,117","251,535","3,30%"
"01.07.2019","251,815","256,913","257,881","251,193","-2,00%"
"30.06.2019","256,955","256,456","257,858","255,069","-2,04%"
"28.06.2019","262,308","261,897","264,420","260,706","0,15%"
"27.06.2019","261,910","261,758","262,101","259,778","0,06%"
"26.06.2019","261,762","264,312","264,687","260,001","-0,98%"
"25.06.2019","264,348","265,918","268,826","263,717","-0,59%"
"24.06.2019","265,928","260,737","266,033","257,725","1,96%"
"23.06.2019","260,805","258,911","261,497","258,570","-0,38%"
"21.06.2019","261,810","257,787","262,484","257,750","1,55%"
"20.06.2019","257,806","253,082","259,217","253,082","1,87%"
"19.06.2019","253,082","252,175","255,918","251,446","0,36%"
"18.06.2019","252,170","253,010","254,591","251,135","-0,33%"
"17.06.2019","253,009","254,676","255,839","251,697","-0,65%"
"16.06.2019","254,673","255,251","255,639","254,663","0,10%"
"14.06.2019","254,410","254,001","258,581","253,128","0,15%"
"13.06.2019","254,023","249,390","254,046","248,945","1,86%"
"12.06.2019","249,392","247,845","250,763","247,463","0,62%"
"11.06.2019","247,849","247,593","248,825","244,909","0,10%"
"10.06.2019","247,595","250,814","251,259","246,026","-1,28%"
"09.06.2019","250,809","250,435","250,945","250,247","-0,22%"
"07.06.2019","251,369","248,373","252,002","247,958","1,20%"
"06.06.2019","248,379","244,808","249,224","244,030","1,46%"
"05.06.2019","244,803","246,164","248,249","242,926","-0,55%"
"04.06.2019","246,154","248,663","250,014","244,039","-1,01%"
"03.06.2019","248,656","246,701","249,618","246,110","0,79%"
"02.06.2019","246,699","245,807","246,899","245,580","0,64%"
"31.05.2019","245,123","245,368","246,114","243,128","-0,10%"
"30.05.2019","245,359","247,763","248,036","240,846","-0,97%"
"29.05.2019","247,762","248,205","249,977","247,264","-0,18%"
"28.05.2019","248,221","250,792","251,064","246,108","-1,02%"
"27.05.2019","250,790","251,203","251,863","249,551","-0,16%"
"26.05.2019","251,193","251,767","252,235","251,026","-0,02%"
"24.05.2019","251,245","252,623","252,936","249,823","-0,56%"
"23.05.2019","252,657","250,845","253,416","250,614","0,72%"
"22.05.2019","250,856","248,575","251,039","247,995","0,92%"
"21.05.2019","248,577","247,546","249,930","246,631","0,41%"
"20.05.2019","247,551","249,035","249,466","246,642","-0,60%"
"19.05.2019","249,055","248,775","249,212","248,675","0,04%"
"17.05.2019","248,965","250,393","252,117","247,864","-0,57%"
"16.05.2019","250,400","250,774","251,919","248,828","-0,15%"
"15.05.2019","250,770","251,913","253,976","249,485","-0,46%"
"14.05.2019","251,926","255,158","255,449","249,656","-1,27%"
"13.05.2019","255,158","248,017","255,195","246,066","2,88%"
"12.05.2019","248,017","248,557","248,769","247,524","0,20%"
"10.05.2019","247,524","254,259","254,487","246,709","-2,64%"
"09.05.2019","254,243","253,846","258,418","253,501","0,16%"
"08.05.2019","253,846","254,446","257,195","253,741","-0,23%"
"07.05.2019","254,443","251,222","255,543","250,722","1,28%"
"06.05.2019","251,222","247,143","253,263","246,648","1,64%"
"05.05.2019","247,179","246,997","247,435","246,505","0,79%"
"03.05.2019","245,243","243,755","246,113","243,707","0,60%"
"02.05.2019","243,785","244,796","245,011","243,036","-0,42%"
"01.05.2019","244,804","246,123","246,224","244,070","-0,54%"
"30.04.2019","246,124","244,999","246,962","244,999","0,46%"
"29.04.2019","244,995","245,857","246,289","244,073","-0,33%"
"28.04.2019","245,805","245,952","246,001","245,789","0,15%"
"26.04.2019","245,448","245,006","246,383","244,008","0,18%"
"25.04.2019","245,008","241,309","245,536","240,777","1,53%"
"24.04.2019","241,308","238,680","241,711","238,480","1,10%"
"23.04.2019","238,681","238,911","239,265","237,525","-0,09%"
"22.04.2019","238,893","239,188","240,737","238,204","-0,12%"
"21.04.2019","239,191","239,289","239,293","238,743","0,46%"
"18.04.2019","238,097","235,935","239,980","235,475","0,92%"
"17.04.2019","235,937","237,627","237,743","234,146","-0,72%"
"16.04.2019","237,641","240,482","240,490","235,062","-1,18%"
"15.04.2019","240,482","239,956","241,313","239,226","0,22%"
"14.04.2019","239,956","239,467","240,223","239,408","0,12%"
"12.04.2019","239,666","238,320","242,397","238,317","0,55%"
"11.04.2019","238,353","239,007","240,925","237,527","-0,27%"
"10.04.2019","239,006","238,457","239,928","237,768","0,23%"
"09.04.2019","238,452","237,533","239,350","235,587","0,38%"
"08.04.2019","237,550","234,171","239,020","234,117","1,44%"
"07.04.2019","234,182","234,157","234,491","234,111","0,30%"
"05.04.2019","233,488","232,966","234,765","230,710","0,23%"
"04.04.2019","232,959","233,551","235,237","229,800","-0,25%"
"03.04.2019","233,553","233,305","235,157","231,909","0,11%"
"02.04.2019","233,304","228,340","235,627","228,045","2,17%"
